gene,compare,medianP,meanlogFC,cvFC,DEGtype,Gene_Name,entrezgene_id,description,biotype
ENSG00000184271,D5/D6,0.0386,-0.435,13.03,non-DEG,POU6F1,5463,POU class 6 homeobox 1,Protein coding
ENSG00000196553,D5/D6,0.00949,0.435,19.47,non-DEG,CCDC196,440184,coiled-coil domain containing 196,Protein coding
ENSG00000198771,D5/D6,2.06e-05,-0.435,5.89,non-DEG,RCSD1,92241,RCSD domain containing 1,Protein coding
ENSG00000213923,D5/D6,4.7e-05,0.435,4.6,non-DEG,CSNK1E,1454,casein kinase 1 epsilon,Protein coding
ENSG00000238198,D5/D6,0.00789,0.435,8.11,non-DEG,AL357055.3,100996251,LRIG2 divergent transcript,lncRNA
ENSG00000073350,D5/D6,0.0209,0.434,8.94,non-DEG,LLGL2,3993,LLGL scribble cell polarity complex component 2,Protein coding
ENSG00000099797,D5/D6,0.00176,-0.434,13.56,non-DEG,TECR,9524,"trans-2,3-enoyl-CoA reductase",Protein coding
ENSG00000103671,D5/D6,0.000811,-0.434,6.9,non-DEG,TRIP4,9325,thyroid hormone receptor interactor 4,Protein coding
ENSG00000113555,D5/D6,0.00774,-0.434,14.4,non-DEG,PCDH12,51294,protocadherin 12,Protein coding
ENSG00000113643,D5/D6,0.000263,0.434,5.58,non-DEG,RARS,5917,arginyl-tRNA synthetase 1,Protein coding
ENSG00000135905,D5/D6,9.01e-06,-0.434,4.35,non-DEG,DOCK10,55619,dedicator of cytokinesis 10,Protein coding
ENSG00000141013,D5/D6,0.0253,-0.434,9.26,non-DEG,GAS8,2622,growth arrest specific 8,Protein coding
ENSG00000155511,D5/D6,0.0104,0.434,14.01,non-DEG,GRIA1,2890,glutamate ionotropic receptor AMPA type subunit 1,Protein coding
ENSG00000164236,D5/D6,1.93e-06,-0.434,5.38,non-DEG,ANKRD33B,651746,ankyrin repeat domain 33B,Protein coding
ENSG00000001036,D5/D6,0.000157,-0.433,3.68,non-DEG,FUCA2,2519,alpha-L-fucosidase 2,Protein coding
ENSG00000042286,D5/D6,0.00011,-0.433,5.45,non-DEG,AIFM2,84883,apoptosis inducing factor mitochondria associated 2,Protein coding
ENSG00000127366,D5/D6,0.0278,0.433,10.88,non-DEG,TAS2R5,54429,taste 2 receptor member 5,Protein coding
ENSG00000136444,D5/D6,0.00147,0.433,7.64,non-DEG,RSAD1,55316,radical S-adenosyl methionine domain containing 1,Protein coding
ENSG00000141956,D5/D6,0.0335,-0.433,14.71,non-DEG,PRDM15,63977,PR/SET domain 15,Protein coding
ENSG00000143333,D5/D6,9.21e-05,-0.433,4.28,non-DEG,RGS16,6004,regulator of G protein signaling 16,Protein coding
ENSG00000162889,D5/D6,4.71e-05,-0.433,4.18,non-DEG,MAPKAPK2,9261,MAPK activated protein kinase 2,Protein coding
ENSG00000169962,D5/D6,0.00858,-0.433,11.19,non-DEG,TAS1R3,83756,taste 1 receptor member 3,Protein coding
ENSG00000183828,D5/D6,0.0216,0.433,9.05,non-DEG,NUDT14,256281,nudix hydrolase 14,Protein coding
ENSG00000186231,D5/D6,0.0419,-0.433,25,non-DEG,KLHL32,114792,kelch like family member 32,Protein coding
ENSG00000198176,D5/D6,0.000406,0.433,5.74,non-DEG,TFDP1,7027,transcription factor Dp-1,Protein coding
ENSG00000236871,D5/D6,0.0254,-0.433,17.45,non-DEG,LINC00106,751580,long intergenic non-protein coding RNA 106,lncRNA
ENSG00000244476,D5/D6,0.067,0.433,38.79,non-DEG,ERVFRD-1,405754,"endogenous retrovirus group FRD member 1, envelope",Protein coding
ENSG00000255585,D5/D6,0.00904,-0.433,13.49,non-DEG,AL590627.1,651337,forkhead box H1 (FOXH1) pseudogene,Pseudogene
ENSG00000270580,D5/D6,0.00481,0.433,9.94,non-DEG,AC139256.2,105369154,novel transcript,lncRNA
ENSG00000035115,D5/D6,0.00871,0.432,8.69,non-DEG,SH3YL1,26751,SH3 and SYLF domain containing 1,Protein coding
ENSG00000100644,D5/D6,0.000143,-0.432,8.8,non-DEG,HIF1A,3091,hypoxia inducible factor 1 subunit alpha,Protein coding
ENSG00000114796,D5/D6,0.000119,0.432,3.96,non-DEG,KLHL24,54800,kelch like family member 24,Protein coding
ENSG00000119927,D5/D6,0.000609,-0.432,4.51,non-DEG,GPAM,57678,"glycerol-3-phosphate acyltransferase, mitochondrial",Protein coding
ENSG00000227486,D5/D6,0.0205,0.432,9.14,non-DEG,AL445472.1,,novel transcript,lncRNA
ENSG00000234546,D5/D6,0.0385,-0.432,17.1,non-DEG,LINC01759,102724571,long non coding transcriptional activator of miR34a,lncRNA
ENSG00000235954,D5/D6,0.0278,-0.432,10.9,non-DEG,TTC28-AS1,284900,TTC28 antisense RNA 1,lncRNA
ENSG00000269984,D5/D6,0.0211,0.432,18.59,non-DEG,AC078795.1,,"novel transcript, antisense to MYNN",lncRNA
ENSG00000272189,D5/D6,0.0371,0.432,35.04,non-DEG,AL024508.2,,"novel transcript, antisense to MAP7",lncRNA
ENSG00000013588,D5/D6,0.0147,-0.431,11.33,non-DEG,GPRC5A,9052,G protein-coupled receptor class C group 5 member A,Protein coding
ENSG00000148219,D5/D6,0.0103,-0.431,9.03,non-DEG,ASTN2,23245,astrotactin 2,Protein coding
ENSG00000272447,D5/D6,0.00652,0.431,8.87,non-DEG,AL135925.1,642361,novel transcript,lncRNA
ENSG00000138080,D5/D6,0.0685,-0.43,14.82,non-DEG,EMILIN1,11117,elastin microfibril interfacer 1,Protein coding
ENSG00000196588,D5/D6,0.000925,-0.43,7.37,non-DEG,MKL1,57591,myocardin related transcription factor A,Protein coding
ENSG00000196811,D5/D6,0.107,0.43,31.21,non-DEG,CHRNG,1146,cholinergic receptor nicotinic gamma subunit,Protein coding
ENSG00000231794,D5/D6,0.0794,-0.43,19.71,non-DEG,AC009542.1,,"novel transcript, antisense to WDR91",lncRNA
ENSG00000277476,D5/D6,0.00738,0.43,11.91,non-DEG,AC005332.6,,novel transcript,lncRNA
ENSG00000005022,D5/D6,0.000734,0.429,7.81,non-DEG,SLC25A5,292,solute carrier family 25 member 5,Protein coding
ENSG00000011260,D5/D6,0.000103,0.429,3.05,non-DEG,UTP18,51096,UTP18 small subunit processome component,Protein coding
ENSG00000105364,D5/D6,0.00431,0.429,11.52,non-DEG,MRPL4,51073,mitochondrial ribosomal protein L4,Protein coding
ENSG00000120278,D5/D6,0.0237,0.429,27.96,non-DEG,PLEKHG1,57480,pleckstrin homology and RhoGEF domain containing G1,Protein coding
ENSG00000138744,D5/D6,0.00237,0.429,8.92,non-DEG,NAAA,27163,N-acylethanolamine acid amidase,Protein coding
ENSG00000162511,D5/D6,2.23e-06,-0.429,3.78,non-DEG,LAPTM5,7805,lysosomal protein transmembrane 5,Protein coding
ENSG00000172081,D5/D6,2.41e-05,-0.429,3.61,non-DEG,MOB3A,126308,MOB kinase activator 3A,Protein coding
ENSG00000183850,D5/D6,0.0377,-0.429,38.75,non-DEG,ZNF730,100129543,zinc finger protein 730,Protein coding
ENSG00000225092,D5/D6,0.0563,0.429,26.6,non-DEG,AL355336.1,,novel transcript,lncRNA
ENSG00000267503,D5/D6,0.0467,-0.429,46.81,non-DEG,AP005131.3,,"novel transcript, antisense C18orf1",lncRNA
ENSG00000019485,D5/D6,0.00627,0.428,12.54,non-DEG,PRDM11,56981,PR/SET domain 11,Protein coding
ENSG00000070501,D5/D6,0.000661,0.428,5.38,non-DEG,POLB,5423,DNA polymerase beta,Protein coding
ENSG00000112210,D5/D6,0.0302,-0.428,19.14,non-DEG,RAB23,51715,"RAB23, member RAS oncogene family",Protein coding
ENSG00000160193,D5/D6,0.00211,0.428,5.67,non-DEG,WDR4,10785,WD repeat domain 4,Protein coding
ENSG00000186765,D5/D6,0.0774,-0.428,15.86,non-DEG,FSCN2,25794,"fascin actin-bundling protein 2, retinal",Protein coding
ENSG00000246763,D5/D6,0.0757,0.428,18.5,non-DEG,RGMB-AS1,503569,RGMB antisense RNA 1,lncRNA
ENSG00000271976,D5/D6,0.00152,0.428,7.89,non-DEG,AC012467.2,,"novel transcript, antisense to IL17RB",lncRNA
ENSG00000063127,D5/D6,0.017,-0.427,10.71,non-DEG,SLC6A16,28968,solute carrier family 6 member 16,Protein coding
ENSG00000095794,D5/D6,0.0032,-0.427,6.33,non-DEG,CREM,1390,cAMP responsive element modulator,Protein coding
ENSG00000119686,D5/D6,0.00656,-0.427,12.83,non-DEG,FLVCR2,55640,feline leukemia virus subgroup C cellular receptor family member 2,Protein coding
ENSG00000128604,D5/D6,0.000171,-0.427,6.69,non-DEG,IRF5,3663,interferon regulatory factor 5,Protein coding
ENSG00000162244,D5/D6,0.000906,0.427,13.49,non-DEG,RPL29,6159,ribosomal protein L29,Protein coding
ENSG00000187091,D5/D6,0.0223,-0.427,20.34,non-DEG,PLCD1,5333,phospholipase C delta 1,Protein coding
ENSG00000063177,D5/D6,8.88e-05,0.426,4.59,non-DEG,RPL18,6141,ribosomal protein L18,Protein coding
ENSG00000070756,D5/D6,5.64e-05,0.426,5.43,non-DEG,PABPC1,26986,poly(A) binding protein cytoplasmic 1,Protein coding
ENSG00000079335,D5/D6,0.00101,-0.426,9.33,non-DEG,CDC14A,8556,cell division cycle 14A,Protein coding
ENSG00000148840,D5/D6,4.59e-05,0.426,4.17,non-DEG,PPRC1,23082,PPARG related coactivator 1,Protein coding
ENSG00000149292,D5/D6,0.000709,0.426,4.63,non-DEG,TTC12,54970,tetratricopeptide repeat domain 12,Protein coding
ENSG00000166068,D5/D6,0.000793,0.426,5.22,non-DEG,SPRED1,161742,sprouty related EVH1 domain containing 1,Protein coding
ENSG00000166881,D5/D6,0.000145,0.426,32.99,non-DEG,NEMP1,23306,nuclear envelope integral membrane protein 1,Protein coding
ENSG00000168081,D5/D6,0.000894,-0.426,5.02,non-DEG,PNOC,5368,prepronociceptin,Protein coding
ENSG00000178662,D5/D6,0.0466,-0.426,27.79,non-DEG,CSRNP3,80034,cysteine and serine rich nuclear protein 3,Protein coding
ENSG00000196405,D5/D6,1.49e-05,0.426,3.98,non-DEG,EVL,51466,Enah/Vasp-like,Protein coding
ENSG00000210112,D5/D6,0.00631,0.426,14.01,non-DEG,MT-TM,,mitochondrially encoded tRNA-Met (AUA/G),ncRNA
ENSG00000213178,D5/D6,0.00445,0.426,11.26,non-DEG,RPL22P1,,ribosomal protein L22 pseudogene 1,Pseudogene
ENSG00000233762,D5/D6,0.0237,0.426,8.81,non-DEG,AC007969.1,,ribosomal protein S15 (RPS15) pseudogene,Pseudogene
ENSG00000273151,D5/D6,0.0036,0.426,9.25,non-DEG,AC073957.3,,"novel transcript, antisense to GET4",lncRNA
ENSG00000028116,D5/D6,0.00012,-0.425,3.72,non-DEG,VRK2,7444,VRK serine/threonine kinase 2,Protein coding
ENSG00000064652,D5/D6,0.0194,-0.425,18.71,non-DEG,SNX24,28966,sorting nexin 24,Protein coding
ENSG00000108389,D5/D6,1.15e-05,-0.425,3.8,non-DEG,MTMR4,9110,myotubularin related protein 4,Protein coding
ENSG00000111641,D5/D6,0.00471,0.425,8.41,non-DEG,NOP2,4839,NOP2 nucleolar protein,Protein coding
ENSG00000137103,D5/D6,0.0199,-0.425,14.69,non-DEG,TMEM8B,51754,transmembrane protein 8B,Protein coding
ENSG00000142937,D5/D6,2.92e-05,0.425,6.58,non-DEG,RPS8,6202,ribosomal protein S8,Protein coding
ENSG00000145014,D5/D6,0.0718,0.425,19.15,non-DEG,TMEM44,93109,transmembrane protein 44,Protein coding
ENSG00000169442,D5/D6,0.000777,0.425,3.29,non-DEG,CD52,1043,CD52 molecule,Protein coding
ENSG00000218891,D5/D6,0.0488,0.425,36.54,non-DEG,ZNF579,163033,zinc finger protein 579,Protein coding
ENSG00000233337,D5/D6,0.0706,0.425,15.46,non-DEG,UBE2FP3,,UBE2F pseudogene 3,Pseudogene
ENSG00000236761,D5/D6,0.0581,0.425,22.21,non-DEG,CTAGE9,643854,CTAGE family member 9,Protein coding
ENSG00000010671,D5/D6,3.06e-05,0.424,5.66,non-DEG,BTK,695,Bruton tyrosine kinase,Protein coding
ENSG00000063761,D5/D6,0.00598,0.424,9.14,non-DEG,ADCK1,57143,aarF domain containing kinase 1,Protein coding
ENSG00000089327,D5/D6,0.00149,0.424,7.6,non-DEG,FXYD5,53827,FXYD domain containing ion transport regulator 5,Protein coding
ENSG00000100664,D5/D6,2.96e-05,-0.424,7.37,non-DEG,EIF5,1983,eukaryotic translation initiation factor 5,Protein coding
ENSG00000122140,D5/D6,0.0738,0.424,23.8,non-DEG,MRPS2,51116,mitochondrial ribosomal protein S2,Protein coding
ENSG00000138495,D5/D6,0.0015,-0.424,4.02,non-DEG,COX17,10063,cytochrome c oxidase copper chaperone COX17,Protein coding
ENSG00000162194,D5/D6,0.00879,0.424,12.61,non-DEG,LBHD1,79081,LBH domain containing 1,Protein coding
ENSG00000166333,D5/D6,0.000507,-0.424,4.78,non-DEG,ILK,3611,integrin linked kinase,Protein coding
ENSG00000171115,D5/D6,0.000834,0.424,9.77,non-DEG,GIMAP8,155038,"GTPase, IMAP family member 8",Protein coding
ENSG00000196329,D5/D6,0.0457,0.424,32.25,non-DEG,GIMAP5,55340,"GTPase, IMAP family member 5",Protein coding
ENSG00000207110,D5/D6,0.105,0.424,27.58,non-DEG,RNU1-106P,,"RNA, U1 small nuclear 106, pseudogene",ncRNA
ENSG00000214029,D5/D6,0.000375,0.424,7.56,non-DEG,ZNF891,101060200,zinc finger protein 891,Protein coding
ENSG00000225067,D5/D6,0.0204,0.424,19.99,non-DEG,RPL23AP2,,ribosomal protein L23a pseudogene 2,Pseudogene
ENSG00000240065,D5/D6,4.14e-05,-0.424,3.67,non-DEG,PSMB9,5698,proteasome 20S subunit beta 9,Protein coding
ENSG00000270127,D5/D6,0.00267,0.424,12.33,non-DEG,AC027020.2,,novel transcript,lncRNA
ENSG00000279801,D5/D6,0.0108,-0.424,24.28,non-DEG,AC111170.3,,TEC,TEC
ENSG00000103540,D5/D6,0.0866,-0.423,19.42,non-DEG,CCP110,9738,centriolar coiled-coil protein 110,Protein coding
ENSG00000107816,D5/D6,0.00266,0.423,7.97,non-DEG,LZTS2,84445,leucine zipper tumor suppressor 2,Protein coding
ENSG00000108582,D5/D6,0.000695,0.423,10.85,non-DEG,CPD,1362,carboxypeptidase D,Protein coding
ENSG00000130511,D5/D6,0.00138,0.423,8,non-DEG,SSBP4,170463,single stranded DNA binding protein 4,Protein coding
ENSG00000173674,D5/D6,7.31e-05,0.423,4.44,non-DEG,EIF1AX,1964,eukaryotic translation initiation factor 1A X-linked,Protein coding
ENSG00000234449,D5/D6,0.000663,0.423,6.94,non-DEG,FAM239A,,,
ENSG00000247121,D5/D6,0.00503,-0.423,15.91,non-DEG,AC009126.1,,"novel transcript, antisense to LNPEP and ERAP2",lncRNA
ENSG00000270170,D5/D6,0.00436,0.423,9.4,non-DEG,NCBP2-AS2,152217,NCBP2 antisense 2 (head to head),Protein coding
ENSG00000276231,D5/D6,7.65e-05,0.423,4.38,non-DEG,PIK3R6,146850,phosphoinositide-3-kinase regulatory subunit 6,Protein coding
ENSG00000278730,D5/D6,0.000929,0.423,4.41,non-DEG,AC005332.7,,novel transcript,lncRNA
ENSG00000132661,D5/D6,0.00103,0.422,7.79,non-DEG,NXT1,29107,nuclear transport factor 2 like export factor 1,Protein coding
ENSG00000137309,D5/D6,0.00039,0.422,7.19,non-DEG,HMGA1,3159,high mobility group AT-hook 1,Protein coding
ENSG00000169715,D5/D6,0.0347,0.422,8.72,non-DEG,MT1E,4493,metallothionein 1E,Protein coding
ENSG00000229344,D5/D6,0.0437,0.422,22.32,non-DEG,MTCO2P12,,MT-CO2 pseudogene 12,Pseudogene
ENSG00000258525,D5/D6,0.00782,0.422,13.83,non-DEG,AL049830.3,100506071,"novel transcript, antisense to COCH",lncRNA
ENSG00000275379,D5/D6,0.00675,0.422,18.98,non-DEG,HIST1H3I,8354,H3 clustered histone 11,Protein coding
ENSG00000279942,D5/D6,0.0145,0.422,8.82,non-DEG,AL353597.3,,TEC,TEC
ENSG00000072832,D5/D6,0.111,-0.421,27.71,non-DEG,CRMP1,1400,collapsin response mediator protein 1,Protein coding
ENSG00000096063,D5/D6,4.51e-05,0.421,2.83,non-DEG,SRPK1,6732,SRSF protein kinase 1,Protein coding
ENSG00000127585,D5/D6,0.0928,0.421,22.39,non-DEG,FBXL16,146330,F-box and leucine rich repeat protein 16,Protein coding
ENSG00000153896,D5/D6,0.018,0.421,15.66,non-DEG,ZNF599,148103,zinc finger protein 599,Protein coding
ENSG00000169047,D5/D6,0.00423,-0.421,5.55,non-DEG,IRS1,3667,insulin receptor substrate 1,Protein coding
ENSG00000206621,D5/D6,0.0337,0.421,22.22,non-DEG,SNORD116-14,,"small nucleolar RNA, C/D box 116-14",ncRNA
ENSG00000214485,D5/D6,0.00695,0.421,6.32,non-DEG,RPL7P1,,ribosomal protein L7 pseudogene 1,Pseudogene
ENSG00000226367,D5/D6,0.00894,0.421,21.96,non-DEG,ST7-AS2,93654,ST7 antisense RNA 2,lncRNA
ENSG00000237972,D5/D6,0.0484,0.421,16.97,non-DEG,TUBG1P,,tubulin gamma 1 pseudogene,Pseudogene
ENSG00000250337,D5/D6,0.0319,-0.421,15.17,non-DEG,PURPL,643401,p53 upregulated regulator of p53 levels,lncRNA
ENSG00000279390,D5/D6,0.0252,0.421,31.33,non-DEG,AF127577.6,,TEC,TEC
ENSG00000100099,D5/D6,5.26e-05,0.42,6.45,non-DEG,HPS4,89781,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2,Protein coding
ENSG00000167700,D5/D6,0.00784,0.42,9.94,non-DEG,MFSD3,113655,major facilitator superfamily domain containing 3,Protein coding
ENSG00000168209,D5/D6,2.3e-05,-0.42,5.58,non-DEG,DDIT4,54541,DNA damage inducible transcript 4,Protein coding
ENSG00000100462,D5/D6,0.000693,0.419,5.2,non-DEG,PRMT5,10419,protein arginine methyltransferase 5,Protein coding
ENSG00000115317,D5/D6,0.00085,-0.419,6.56,non-DEG,HTRA2,27429,HtrA serine peptidase 2,Protein coding
ENSG00000132793,D5/D6,0.0726,0.419,10.05,non-DEG,LPIN3,64900,lipin 3,Protein coding
ENSG00000171425,D5/D6,0.00385,0.419,14.23,non-DEG,ZNF581,51545,zinc finger protein 581,Protein coding
ENSG00000179841,D5/D6,0.019,-0.419,16.41,non-DEG,AKAP5,9495,A-kinase anchoring protein 5,Protein coding
ENSG00000196126,D5/D6,9.01e-06,-0.419,5.08,non-DEG,HLA-DRB1,3123,"major histocompatibility complex, class II, DR beta 1",Protein coding
ENSG00000205662,D5/D6,0.00345,0.419,6.58,non-DEG,FAM239C,,,
ENSG00000215252,D5/D6,2.95e-05,0.419,6.98,non-DEG,GOLGA8B,440270,golgin A8 family member B,Protein coding
ENSG00000247092,D5/D6,0.00987,0.419,13.47,non-DEG,SNHG10,,small nucleolar RNA host gene 10,lncRNA
ENSG00000251143,D5/D6,0.0416,-0.419,14.54,non-DEG,AP002490.1,100128494,novel transcript,lncRNA
ENSG00000127364,D5/D6,0.0314,0.418,6.62,non-DEG,TAS2R4,50832,taste 2 receptor member 4,Protein coding
ENSG00000167676,D5/D6,0.0153,-0.418,32.81,non-DEG,PLIN4,729359,perilipin 4,Protein coding
ENSG00000169972,D5/D6,0.00207,0.418,7.8,non-DEG,PUSL1,126789,pseudouridine synthase like 1,Protein coding
ENSG00000186481,D5/D6,0.00406,-0.418,10.1,non-DEG,ANKRD20A5P,,"ankyrin repeat domain 20 family member A5, pseudogene",Pseudogene
ENSG00000235194,D5/D6,0.00215,0.418,14.87,non-DEG,PPP1R3E,90673,protein phosphatase 1 regulatory subunit 3E,Protein coding
ENSG00000254004,D5/D6,0.0749,-0.418,61.41,non-DEG,ZNF260,339324,zinc finger protein 260,Protein coding
ENSG00000079150,D5/D6,0.0117,0.417,13.79,non-DEG,FKBP7,51661,FKBP prolyl isomerase 7,Protein coding
ENSG00000079819,D5/D6,0.00126,-0.417,6.7,non-DEG,EPB41L2,2037,erythrocyte membrane protein band 4.1 like 2,Protein coding
ENSG00000085415,D5/D6,0.000788,0.417,7.47,non-DEG,SEH1L,81929,SEH1 like nucleoporin,Protein coding
ENSG00000119285,D5/D6,6.02e-06,0.417,5.58,non-DEG,HEATR1,55127,HEAT repeat containing 1,Protein coding
ENSG00000121851,D5/D6,0.00619,-0.417,9.45,non-DEG,POLR3GL,84265,RNA polymerase III subunit G like,Protein coding
ENSG00000160785,D5/D6,0.0016,-0.417,9.1,non-DEG,SLC25A44,9673,solute carrier family 25 member 44,Protein coding
ENSG00000165449,D5/D6,0.00872,0.417,9.03,non-DEG,SLC16A9,220963,solute carrier family 16 member 9,Protein coding
ENSG00000169925,D5/D6,0.000133,0.417,5.99,non-DEG,BRD3,8019,bromodomain containing 3,Protein coding
ENSG00000171503,D5/D6,0.00067,-0.417,4.14,non-DEG,ETFDH,2110,electron transfer flavoprotein dehydrogenase,Protein coding
ENSG00000176371,D5/D6,0.0892,0.417,31.75,non-DEG,ZSCAN2,54993,zinc finger and SCAN domain containing 2,Protein coding
ENSG00000186162,D5/D6,0.00913,-0.417,10.45,non-DEG,CIDECP,,cell death inducing DFFA like effector c pseudogene 1,Pseudogene
ENSG00000213279,D5/D6,0.0983,-0.417,34.91,non-DEG,Z97192.2,,novel transcript,lncRNA
ENSG00000226688,D5/D6,0.006,0.417,12.6,non-DEG,ENTPD1-AS1,728558,ENTPD1 antisense RNA 1,lncRNA
ENSG00000236204,D5/D6,0.0955,-0.417,19.71,non-DEG,LINC01376,400945,long intergenic non-protein coding RNA 1376,lncRNA
ENSG00000071794,D5/D6,0.00145,0.416,8.19,non-DEG,HLTF,6596,helicase like transcription factor,Protein coding
ENSG00000101210,D5/D6,0.072,0.416,22.71,non-DEG,EEF1A2,1917,eukaryotic translation elongation factor 1 alpha 2,Protein coding
ENSG00000123240,D5/D6,0.00054,-0.416,8.53,non-DEG,OPTN,10133,optineurin,Protein coding
ENSG00000134057,D5/D6,0.00377,-0.416,8.3,non-DEG,CCNB1,891,cyclin B1,Protein coding
ENSG00000152409,D5/D6,1.36e-05,-0.416,7.15,non-DEG,JMY,133746,"junction mediating and regulatory protein, p53 cofactor",Protein coding
ENSG00000171466,D5/D6,0.000245,0.416,3.98,non-DEG,ZNF562,54811,zinc finger protein 562,Protein coding
ENSG00000178999,D5/D6,0.00477,0.416,12.64,non-DEG,AURKB,9212,aurora kinase B,Protein coding
ENSG00000204072,D5/D6,0.0599,0.416,37.08,non-DEG,ARMCX7P,,"armadillo repeat containing X-linked 7, pseudogene",Pseudogene
ENSG00000226419,D5/D6,0.000153,0.416,5.06,non-DEG,SLC16A1-AS1,100506392,SLC16A1 antisense RNA 1,lncRNA
ENSG00000014914,D5/D6,0.0617,-0.415,16.61,non-DEG,MTMR11,10903,myotubularin related protein 11,Protein coding
ENSG00000085831,D5/D6,0.153,-0.415,18.33,non-DEG,TTC39A,22996,tetratricopeptide repeat domain 39A,Protein coding
ENSG00000128965,D5/D6,0.00322,-0.415,10.33,non-DEG,CHAC1,79094,ChaC glutathione specific gamma-glutamylcyclotransferase 1,Protein coding
ENSG00000131398,D5/D6,0.04,-0.415,30.36,non-DEG,KCNC3,3748,potassium voltage-gated channel subfamily C member 3,Protein coding
ENSG00000131778,D5/D6,0.000146,0.415,4.4,non-DEG,CHD1L,9557,chromodomain helicase DNA binding protein 1 like,Protein coding
ENSG00000145780,D5/D6,0.00016,-0.415,5.73,non-DEG,FEM1C,56929,fem-1 homolog C,Protein coding
ENSG00000153443,D5/D6,0.0979,0.415,16.44,non-DEG,UBALD1,124402,UBA like domain containing 1,Protein coding
ENSG00000170854,D5/D6,0.000333,0.415,6.54,non-DEG,RIOX2,84864,ribosomal oxygenase 2,Protein coding
ENSG00000183605,D5/D6,0.000391,0.415,5.15,non-DEG,SFXN4,119559,sideroflexin 4,Protein coding
ENSG00000185482,D5/D6,0.0153,-0.415,10.8,non-DEG,STAC3,246329,SH3 and cysteine rich domain 3,Protein coding
ENSG00000197771,D5/D6,0.000791,0.415,5.94,non-DEG,MCMBP,79892,minichromosome maintenance complex binding protein,Protein coding
ENSG00000101844,D5/D6,0.00242,-0.414,11.22,non-DEG,ATG4A,115201,autophagy related 4A cysteine peptidase,Protein coding
ENSG00000113013,D5/D6,8.92e-06,0.414,3.44,non-DEG,HSPA9,3313,heat shock protein family A (Hsp70) member 9,Protein coding
ENSG00000128039,D5/D6,0.00992,0.414,7.48,non-DEG,SRD5A3,79644,steroid 5 alpha-reductase 3,Protein coding
ENSG00000133985,D5/D6,0.00107,-0.414,3.61,non-DEG,TTC9,23508,tetratricopeptide repeat domain 9,Protein coding
ENSG00000143851,D5/D6,0.000313,0.414,13.34,non-DEG,PTPN7,5778,protein tyrosine phosphatase non-receptor type 7,Protein coding
ENSG00000182774,D5/D6,0.0426,0.414,62.56,non-DEG,RPS17,6218,ribosomal protein S17,Protein coding
ENSG00000245573,D5/D6,0.0582,-0.414,14.6,non-DEG,BDNF-AS,497258,BDNF antisense RNA,lncRNA
ENSG00000270923,D5/D6,0.119,0.414,11.46,non-DEG,TAS2R6P,,taste 2 receptor member 6 pseudogene,Pseudogene
ENSG00000071246,D5/D6,0.0373,0.413,32.83,non-DEG,VASH1,22846,vasohibin 1,Protein coding
ENSG00000105928,D5/D6,6.67e-05,0.413,4.8,non-DEG,GSDME,1687,gasdermin E,Protein coding
ENSG00000112473,D5/D6,0.000437,-0.413,5.24,non-DEG,SLC39A7,7922,solute carrier family 39 member 7,Protein coding
ENSG00000121380,D5/D6,0.12,-0.413,41.49,non-DEG,BCL2L14,79370,BCL2 like 14,Protein coding
ENSG00000133706,D5/D6,8.93e-06,0.413,3.09,non-DEG,LARS,51520,leucyl-tRNA synthetase 1,Protein coding
ENSG00000134369,D5/D6,0.08,-0.413,18.32,non-DEG,NAV1,89796,neuron navigator 1,Protein coding
ENSG00000137154,D5/D6,3.24e-05,0.413,5.59,non-DEG,RPS6,6194,ribosomal protein S6,Protein coding
ENSG00000140157,D5/D6,0.000859,0.413,10.7,non-DEG,NIPA2,81614,NIPA magnesium transporter 2,Protein coding
ENSG00000174444,D5/D6,1.62e-06,0.413,6.29,non-DEG,RPL4,6124,ribosomal protein L4,Protein coding
ENSG00000185090,D5/D6,0.0584,0.413,26.73,non-DEG,MANEAL,149175,mannosidase endo-alpha like,Protein coding
ENSG00000210140,D5/D6,0.004,0.413,15.13,non-DEG,MT-TC,,mitochondrially encoded tRNA-Cys (UGU/C),ncRNA
ENSG00000266490,D5/D6,0.0278,0.413,11.74,non-DEG,AC127024.5,,novel transcript,lncRNA
ENSG00000277283,D5/D6,0.0131,0.413,10.63,non-DEG,AC004812.2,,"novel transcript, antisense to RAB35",lncRNA
ENSG00000279948,D5/D6,0.0427,0.413,16.53,non-DEG,AC008895.1,,TEC,TEC
ENSG00000106610,D5/D6,0.00116,0.412,5.9,non-DEG,STAG3L4,64940,stromal antigen 3-like 4 (pseudogene),Pseudogene
ENSG00000111328,D5/D6,0.0614,0.412,19.7,non-DEG,CDK2AP1,8099,cyclin dependent kinase 2 associated protein 1,Protein coding
ENSG00000111644,D5/D6,0.0386,0.412,11.88,non-DEG,ACRBP,84519,acrosin binding protein,Protein coding
ENSG00000132781,D5/D6,0.00109,0.412,7.61,non-DEG,MUTYH,4595,mutY DNA glycosylase,Protein coding
ENSG00000156232,D5/D6,0.000181,-0.412,4.97,non-DEG,WHAMM,123720,"WASP homolog associated with actin, golgi membranes and microtubules",Protein coding
ENSG00000168282,D5/D6,8.06e-05,-0.412,3.71,non-DEG,MGAT2,4247,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Protein coding
